URL: https://www.olympic.org.nz, Size: 79814 bytes, Status: 200, Depth: 0, Time: 1726793198.461967
URL: https://www.bayleys.co.nz, Size: 201340 bytes, Status: 200, Depth: 0, Time: 1726793198.8756783
URL: https://www.webads.co.nz, Size: 5502 bytes, Status: 200, Depth: 0, Time: 1726793199.5465374
URL: https://www.whitcoulls.co.nz, Size: 369007 bytes, Status: 200, Depth: 0, Time: 1726793200.50158
URL: https://www.idealog.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793201.1538894
URL: https://www.yellowfever.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793202.280458
URL: https://www.chelsea.co.nz, Size: 722733 bytes, Status: 200, Depth: 0, Time: 1726793203.140865
URL: https://www.salvationarmy.org.nz, Size: 287837 bytes, Status: 200, Depth: 0, Time: 1726793204.1342494
URL: https://www.vuwpgsa.ac.nz, Size: 110980 bytes, Status: 200, Depth: 0, Time: 1726793207.948107
URL: https://www.christchurchartgallery.org.nz, Size: 31933 bytes, Status: 200, Depth: 0, Time: 1726793208.300391
URL: https://www.citymedphysio.co.nz, Size: 41718 bytes, Status: 200, Depth: 0, Time: 1726793209.057015
URL: https://www.christchurchairport.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793209.0944297
URL: https://www.sit.ac.nz, Size: 316268 bytes, Status: 200, Depth: 0, Time: 1726793209.61036
URL: https://www.driven.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793211.235786
URL: https://www.thehits.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793212.5561187
URL: https://www.farmers.co.nz, Size: 243341 bytes, Status: 200, Depth: 0, Time: 1726793213.8477547
URL: https://www.starship.org.nz, Size: 354305 bytes, Status: 200, Depth: 0, Time: 1726793214.147529
URL: https://www.actionstation.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793214.3777013
URL: https://www.lakewanaka.co.nz, Size: 197986 bytes, Status: 200, Depth: 0, Time: 1726793214.8945382
URL: https://www.airnz.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793218.146123
URL: https://www.nzfootball.co.nz, Size: 280993 bytes, Status: 200, Depth: 0, Time: 1726793218.6990044
URL: https://www.magic.co.nz, Size: 132372 bytes, Status: 200, Depth: 0, Time: 1726793219.9692166
URL: https://www.brother.co.nz, Size: 149312 bytes, Status: 200, Depth: 0, Time: 1726793221.3488996
URL: https://www.dairynz.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793221.7171962
URL: https://www.immune.org.nz, Size: 132671 bytes, Status: 200, Depth: 0, Time: 1726793222.0752223
URL: https://www.manukau.ac.nz, Size: 100370 bytes, Status: 200, Depth: 0, Time: 1726793223.0017838
URL: https://www.ara.ac.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793223.4406593
URL: https://www.oxfam.org.nz, Size: 192683 bytes, Status: 200, Depth: 0, Time: 1726793225.3802202
URL: https://www.nziff.co.nz, Size: 85635 bytes, Status: 200, Depth: 0, Time: 1726793227.5618448
URL: https://www.iesnz.co.nz, Size: 47282 bytes, Status: 200, Depth: 0, Time: 1726793227.7000687
URL: https://www.jbhifi.co.nz, Size: 668885 bytes, Status: 200, Depth: 0, Time: 1726793231.0774345
URL: https://www.nzfilm.co.nz, Size: 92125 bytes, Status: 200, Depth: 0, Time: 1726793232.119214
URL: https://www.flatrock.org.nz, Size: 99943 bytes, Status: 200, Depth: 0, Time: 1726793232.888007
URL: https://www.sportnz.org.nz, Size: 66854 bytes, Status: 200, Depth: 0, Time: 1726793233.700414
URL: https://www.theeducationhub.org.nz, Size: 395794 bytes, Status: 200, Depth: 0, Time: 1726793237.6772604
URL: https://www.constructionnews.co.nz, Size: 112831 bytes, Status: 200, Depth: 0, Time: 1726793238.3017697
URL: https://www.discoverycorporate.co.nz, Size: 41580 bytes, Status: 200, Depth: 0, Time: 1726793238.9970992
URL: https://www.compassnzl.co.nz, Size: 53657 bytes, Status: 200, Depth: 0, Time: 1726793240.9142354
URL: https://www.whalewatch.co.nz, Size: 41830 bytes, Status: 200, Depth: 0, Time: 1726793241.5467002
URL: https://www.harveynorman.co.nz, Size: 212 bytes, Status: 200, Depth: 0, Time: 1726793246.2744863
URL: https://www.meridianenergy.co.nz, Size: 138336 bytes, Status: 200, Depth: 0, Time: 1726793247.3008816
URL: https://www.toyota.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793248.1437626
URL: https://www.paperplus.co.nz, Size: 193388 bytes, Status: 200, Depth: 0, Time: 1726793249.6305995
URL: https://www.nzcer.org.nz, Size: 21865 bytes, Status: 200, Depth: 0, Time: 1726793250.6033564
URL: https://www.torpedo7.co.nz, Size: 592167 bytes, Status: 200, Depth: 0, Time: 1726793251.7916086
URL: https://www.telecom.co.nz, Size: 133736 bytes, Status: 200, Depth: 0, Time: 1726793254.494736
URL: https://www.oneroof.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 1, Time: 1726793256.2612026
URL: https://www.webstock.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793257.154423
URL: https://www.greatjourneysofnz.co.nz, Size: 199800 bytes, Status: 200, Depth: 0, Time: 1726793258.143033
URL: https://www.theedge.co.nz, Size: 291596 bytes, Status: 200, Depth: 0, Time: 1726793259.0094903
URL: https://www.nzmaths.co.nz, Size: 4151 bytes, Status: 200, Depth: 0, Time: 1726793260.6930463
URL: https://www.nzgbc.org.nz, Size: 117777 bytes, Status: 200, Depth: 0, Time: 1726793262.1427643
URL: https://www.nzc.nz, Size: 17667 bytes, Status: 200, Depth: 0, Time: 1726793262.9798703
URL: https://www.metlink.org.nz, Size: 4204 bytes, Status: 200, Depth: 0, Time: 1726793265.7684011
URL: https://www.waiotapu.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793265.7875192
URL: https://www.archipro.co.nz, Size: 1191521 bytes, Status: 200, Depth: 0, Time: 1726793266.293062
URL: https://www.nz-casinoonline.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793267.9210806
URL: https://www.wellingtonairport.co.nz, Size: 123321 bytes, Status: 200, Depth: 0, Time: 1726793271.6271348
URL: https://www.metroinfo.co.nz, Size: 49353 bytes, Status: 200, Depth: 0, Time: 1726793272.7200847
URL: https://www.press.co.nz, Size: 2546 bytes, Status: 200, Depth: 0, Time: 1726793273.8910637
URL: https://www.nzpcn.org.nz, Size: 53757 bytes, Status: 200, Depth: 0, Time: 1726793274.5190437
URL: https://www.people4success.co.nz, Size: 147544 bytes, Status: 200, Depth: 0, Time: 1726793276.5520816
URL: https://www.barnesoysters.co.nz, Size: 9627 bytes, Status: 200, Depth: 0, Time: 1726793280.2356317
URL: https://www.waikatotimes.co.nz, Size: 2565 bytes, Status: 200, Depth: 0, Time: 1726793280.815873
URL: https://www.hdc.org.nz, Size: 75465 bytes, Status: 200, Depth: 0, Time: 1726793281.0057003
URL: https://www.mcnz.org.nz, Size: 41157 bytes, Status: 200, Depth: 0, Time: 1726793281.9806485
URL: https://www.thestandard.org.nz, Size: 465943 bytes, Status: 200, Depth: 0, Time: 1726793282.5596213
URL: https://www.radiolive.co.nz, Size: 132372 bytes, Status: 200, Depth: 0, Time: 1726793283.66072
URL: https://www.tikatangata.org.nz, Size: 32039 bytes, Status: 200, Depth: 0, Time: 1726793284.0379894
URL: https://www.branz.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793284.5946941
URL: https://www.bluebridge.co.nz, Size: 69153 bytes, Status: 200, Depth: 0, Time: 1726793290.7601583
URL: https://www.mcdonalds.co.nz, Size: 113378 bytes, Status: 200, Depth: 0, Time: 1726793290.8957765
URL: https://www.ruralnewsgroup.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793291.2134893
URL: https://www.whitepages.co.nz, Size: 67647 bytes, Status: 200, Depth: 0, Time: 1726793291.9870906
URL: https://www.therock.net.nz, Size: 270693 bytes, Status: 200, Depth: 0, Time: 1726793292.7011108
URL: https://www.janter.co.nz, Size: 5396 bytes, Status: 200, Depth: 0, Time: 1726793293.1980734
URL: https://www.morefm.co.nz, Size: 262152 bytes, Status: 200, Depth: 0, Time: 1726793293.73226
URL: https://www.4tradeit.co.nz, Size: 80308 bytes, Status: 200, Depth: 0, Time: 1726793293.7772503
URL: https://www.houzz.co.nz, Size: 1427552 bytes, Status: 200, Depth: 0, Time: 1726793296.2966032
URL: https://www.fishandgame.org.nz, Size: 500711 bytes, Status: 200, Depth: 0, Time: 1726793296.7030776
URL: https://www.stoppress.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793297.5897183
URL: https://www.christchurchattractions.nz, Size: 117445 bytes, Status: 200, Depth: 0, Time: 1726793298.4587474
URL: https://www.moneyhub.co.nz, Size: 959530 bytes, Status: 200, Depth: 0, Time: 1726793298.6775606
URL: https://www.sexualwellbeing.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793301.7966442
URL: https://www.christchurchcasino.co.nz, Size: 74209 bytes, Status: 200, Depth: 0, Time: 1726793302.4960964
URL: https://www.onlinegamblingcasino.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793303.3775132
URL: https://www.wiredmail.co.nz, Size: 7534 bytes, Status: 200, Depth: 0, Time: 1726793307.498441
URL: https://www.audioculture.co.nz, Size: 36991 bytes, Status: 200, Depth: 0, Time: 1726793307.523007
URL: https://www.kiwifamilies.co.nz, Size: 279716 bytes, Status: 200, Depth: 0, Time: 1726793308.101686
URL: https://www.drivencarguide.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793308.5456083
URL: https://www.treasurebox.co.nz, Size: 237080 bytes, Status: 200, Depth: 0, Time: 1726793309.1571589
URL: https://www.tia.org.nz, Size: 33890 bytes, Status: 200, Depth: 0, Time: 1726793312.0360668
URL: https://www.iceberg.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793312.851107
URL: https://www.cio.co.nz, Size: 219033 bytes, Status: 200, Depth: 0, Time: 1726793313.383114
URL: https://www.quitegoodfood.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793313.6958444
URL: https://www.kiwirail.co.nz, Size: 43024 bytes, Status: 200, Depth: 0, Time: 1726793313.8354514
URL: https://www.seafriends.org.nz, Size: 30359 bytes, Status: 200, Depth: 0, Time: 1726793316.8352768
URL: https://www.familyplanning.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793316.9900746
URL: https://www.plunket.org.nz, Size: 131776 bytes, Status: 200, Depth: 0, Time: 1726793318.4804769
URL: https://www.healthpost.co.nz, Size: 1654512 bytes, Status: 200, Depth: 0, Time: 1726793320.9402587
URL: https://www.lakehousearts.org.nz, Size: 17366 bytes, Status: 200, Depth: 0, Time: 1726793322.8045595
URL: https://www.topomap.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793323.074723
URL: https://www.dogsnz.org.nz, Size: 40665 bytes, Status: 200, Depth: 0, Time: 1726793323.9622023
URL: https://www.times.co.nz, Size: 425142 bytes, Status: 200, Depth: 0, Time: 1726793324.6050358
URL: https://www.iticket.co.nz, Size: 76451 bytes, Status: 200, Depth: 0, Time: 1726793324.8965683
URL: https://www.slingshot.co.nz, Size: 55379 bytes, Status: 200, Depth: 0, Time: 1726793325.8988976
URL: https://www.chorus.co.nz, Size: 1376 bytes, Status: 200, Depth: 0, Time: 1726793326.703743
URL: https://www.transpower.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793328.1298778
URL: https://www.indianweekender.co.nz, Size: 834610 bytes, Status: 200, Depth: 0, Time: 1726793328.8188787
URL: https://www.cloudybay.co.nz, Size: 315331 bytes, Status: 200, Depth: 0, Time: 1726793330.8643806
URL: https://www.redarchitecture.co.nz, Size: 15010 bytes, Status: 200, Depth: 0, Time: 1726793334.8575237
